IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,ORG MAILING ADDRESS,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME
062562,Urban Community,Elementary School,"P,K-8",Nonpublic School,School,Open,Cuyahoga,www.urbancommunityschool.org,ldecore@urbancommunityschool.org,"4909 Lorain Ave, Cleveland, Ohio, 44102",(216) 939-8330,(216) 939-8324,N/A,N/A,N/A,N/A,N/A,N/A,Elizabeth Decore,ldecore@urbancommunityschool.org,(216) 410-4889,052522,Cleveland Catholic Diocese
062604,Rockwern Academy,Elementary School,"P,K-8",Nonpublic School,School,Open,Hamilton,http://www.rockwernacademy.org,elkaplan@rockwernacademy.org,"8401 Montgomery Rd, Cincinnati, Ohio, 45236",(513) 984-3770,(513) 984-3974,N/A,N/A,N/A,N/A,N/A,N/A,Elaine Kaplan,elkaplan@rockwernacademy.org,(513) 984-3770,062604,Rockwern Academy
062612,Ridgewood School  The,Elementary School,K-8,Nonpublic School,School,Open,Clark,http://www.ridgewoodschool.org,aranginwala@ridgewoodschool.org,"2420 Saint Paris Pike, Springfield, Ohio, 45504",(937) 399-8900,(937) 399-8173,N/A,N/A,N/A,N/A,N/A,N/A,ALIYA Ranginwala,aranginwala@ridgewoodschool.org,N/A,062612,"Ridgewood School, The"
062612,Ridgewood School  The,Indicator that identifies a Chartered Nonpublic school as a non-religious based school,K-8,Nonpublic School,School,Open,Clark,http://www.ridgewoodschool.org,aranginwala@ridgewoodschool.org,"2420 Saint Paris Pike, Springfield, Ohio, 45504",(937) 399-8900,(937) 399-8173,N/A,N/A,N/A,N/A,N/A,N/A,ALIYA Ranginwala,aranginwala@ridgewoodschool.org,N/A,062612,"Ridgewood School, The"
062620,Columbus Torah Academy,High School,K-12,Nonpublic School,School,Open,Franklin,http://www.torahacademy.org,info@torahacademy.org,"181 Noe Bixby Rd, Columbus, Ohio, 43213",(614) 864-0299,(614) 864-2119,N/A,N/A,N/A,N/A,N/A,N/A,Nicole Miller,nmiller@torahacademy.org,(203) 931-5556,000136,Ohio Association of Independent Schools
062760,Luis Munoz Marin School,Elementary School,K-8,Public School,School,Open,Cuyahoga,N/A,N/A,"1701 Castle Ave, Cleveland, Ohio, 44113",(216) 838-3300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ricardo Torres,ricardo.torres@clevelandmetroschools.org,(216) 219-0324,043786,Cleveland Municipal
062778,Joseph M Gallagher School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"6601 Franklin Blvd, Cleveland, Ohio, 44102",(216) 838-6400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thomas Kubiak,thomas.kubiak@clevelandmetroschools.org,(216) 543-1406,043786,Cleveland Municipal
062786,Bundy Elementary School,Elementary School,"K-2,P",Public School,School,Open,Jackson,N/A,N/A,"525 W 7th St, Wellston, Ohio, 45692",(740) 384-6245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dana Eberts,deberts@wcs.k12.oh.us,(740) 384-6245,045021,Wellston City 
063461,Garrett Morgan Schl Of Science School,High School,9-12,Public School,School,Open,Cuyahoga,N/A,N/A,"4016 Woodbine Ave, Cleveland, Ohio, 44113",(216) 838-8450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quenton Davis,quentondavis5@gmail.com,(678) 361-7188,043786,Cleveland Municipal
064048,Jefferson Middle School,Middle School,6-8,Public School,School,Open,Van Wert,N/A,N/A,"227 N Jefferson St, Delphos, Ohio, 45833",(419) 695-2523,(419) 692-2302,N/A,N/A,N/A,N/A,N/A,N/A,Douglas Westrick,dwestrick@delphoscityschools.org,(419) 692-6466,043885,Delphos City
064071,Paulding Elementary School,Elementary School,"K-5,P",Public School,School,Open,Paulding,N/A,N/A,"405 N Water St, Paulding, Ohio, 45879",(419) 399-4656,(419) 399-2404,N/A,N/A,N/A,N/A,N/A,N/A,Gregory Puthoff,g_puthoff@pauldingschools.org,(419) 399-4656,045575,Paulding Exempted Village
064089,Worthington Hills Elementary School,Elementary School,K-6,Public School,School,Open,Franklin,N/A,N/A,"1221 Candlewood Dr, Columbus, Ohio, 43235",(614) 450-4700,(614) 883-3410,N/A,N/A,N/A,N/A,N/A,N/A,Alexandra Seiling,aseiling@wscloud.org,(614) 450-4700,045138,Worthington City
064105,Forest Elementary School,Elementary School,"K-2,P",Public School,School,Open,Cuyahoga,N/A,N/A,"28963 Tudor Dr, North Olmsted, Ohio, 44070",(440) 779-3526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brent Monnin,monnin34@gmail.com,(330) 242-3280,044529,North Olmsted City
064113,Amherst Junior High School,Junior High School,6-8,Public School,School,Open,Lorain,http://www.amherstk12.org,andrew_gibson@amherstk12.org,"548 Milan Ave, Amherst, Ohio, 44001",(440) 988-0324,(440) 988-0328,N/A,N/A,N/A,N/A,N/A,N/A,ANDREW GIBSON,andrew_gibson@amherstk12.org,(440) 522-9065,045195,Amherst Exempted Village
064139,Tinora Junior High School,Junior High School,7-8,Public School,School,Open,Defiance,N/A,N/A,"5921 Domersville Rd, Defiance, Ohio, 43512",(419) 497-2361,(419) 497-3401,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Maxwell,lmaxwell@tinora.org,(419) 497-2621,046722,Northeastern Local
064147,Winton Woods High School,High School,9-12,Public School,School,Open,Hamilton,N/A,martin.eric@wintonwoods.org,"1231 W Kemper Rd, Cincinnati, Ohio, 45240",(513) 619-2420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eric Martin,martin.eric@wintonwoods.org,(513) 432-3631,044081,Winton Woods City
064162,Orchard Middle School,Middle School,5-6,Public School,School,Open,Cuyahoga,N/A,N/A,"6800 Som Center Rd, Solon, Ohio, 44139",(440) 349-6215,(440) 349-8054,N/A,N/A,N/A,N/A,N/A,N/A,Cariann MIneard,cmineard@solonboe.org,(440) 349-6218,046607,Solon City
064170,George Mcdowell-Exchange Middle School,Middle School,7-8,Public School,School,Open,Pickaway,N/A,N/A,"9579 Tarlton Rd, Circleville, Ohio, 43113",(740) 474-7538,(740) 477-6525,N/A,N/A,N/A,N/A,N/A,N/A,Marsha Waidelich,marsha.waidelich@logan-elm.k12.oh.us,(740) 474-7538,049080,Logan Elm Local
064188,Teays Valley East Middle School,Middle School,6-8,Public School,School,Open,Pickaway,N/A,shelser@tvsd.us,"655 Viking Way, Ashville, Ohio, 43103",(740) 983-5000,(740) 983-5037,N/A,N/A,N/A,N/A,N/A,N/A,Shannon Helser,shelser@tvsd.us,(614) 920-2539,049098,Teays Valley Local
064196,Westfall Middle School,Middle School,6-8,Public School,School,Open,Pickaway,N/A,N/A,"19545 Pherson Pike, Williamsport, Ohio, 43164",(740) 986-2941,(740) 986-8882,N/A,N/A,N/A,N/A,N/A,N/A,Jason Fife,jason.fife@westfallschools.com,(740) 656-5325,049106,Westfall Local
064212,Northwood Elementary School,Elementary School,K-2,Public School,School,Open,Stark,N/A,N/A,"1500 School Ave NE, North Canton, Ohio, 44720",(330) 497-5650,(330) 966-1503,N/A,N/A,N/A,N/A,N/A,N/A,Matthew Donaldson,msd1nc@viking.stark.k12.oh.us,(330) 497-5650,044503,North Canton City
064261,Lake Middle School,Middle School,6-8,Public School,School,Open,Stark,N/A,N/A,"511 Market Ave SW, Hartville, Ohio, 44632",(330) 877-4290,(330) 877-1384,N/A,N/A,N/A,N/A,N/A,N/A,Brian Reed,reedbrian@lakelocal.org,(330) 877-4290,049866,Lake Local
064287,Woodlands Intermediate School,Elementary School,3-6,Public School,School,Open,Erie,N/A,N/A,"1810 Maple Ave, Huron, Ohio, 44839",(419) 433-1234,(419) 433-9619,N/A,N/A,N/A,N/A,N/A,N/A,Mark Doughty,mark_doughty@huronhs.com,(419) 433-1234,044131,Huron City Schools
064303,Maplewood Elementary School,Elementary School,3-4,Public School,School,Open,Allen,N/A,N/A,"1670 Wonderlick Rd, Lima, Ohio, 45805",(419) 998-8076,(419) 998-8085,N/A,N/A,N/A,N/A,N/A,N/A,James Cypher,jim@shawnee.noacsc.org,(419) 998-8078,045799,Shawnee Local
064311,Mckinley Elementary School,Elementary School,5-6,Public School,School,Open,Mahoning,N/A,N/A,"7 Elm St, Poland, Ohio, 44514",(330) 757-7015,(330) 757-2390,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Iberis,liberis@polandschools.org,(330) 509-0994,048348,Poland Local
064360,Middletown Middle School,Middle School,7-8,Public School,School,Open,Butler,http://www.middletowncityschools.com,N/A,"1415 Girard Ave, Middletown, Ohio, 45044",(513) 420-4528,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Valenti,mvalenti@middletowncityschools.com,(513) 420-4528,044404,Middletown City
064378,Harrison Middle School,Middle School,6-8,Public School,School,Open,Hamilton,N/A,N/A,"9830 West Rd, Harrison, Ohio, 45030",(513) 367-4831,(513) 367-0370,N/A,N/A,N/A,N/A,N/A,N/A,Christian Tracy,christian.tracy@southwestschools.org,(513) 367-4831,047381,Southwest Local
064394,Lake Catholic,High School,9-12,Nonpublic School,School,Open,Lake,http://www.lakecatholic.org,sch_lakecatholic@dioceseofcleveland.org,"6733 Reynolds Rd, Mentor, Ohio, 44060",(440) 578-1020,(440) 974-9087,N/A,N/A,N/A,N/A,N/A,N/A,Robert Kumazec,rkumazec@lakecatholic.org,(440) 578-1020,052522,Cleveland Catholic Diocese
064402,Joseph and Florence Mandel Jewish Day School,Elementary School,K-8,Nonpublic School,School,Open,Cuyahoga,www.mandeljds.org,N/A,"26500 Shaker Blvd, Beachwood, Ohio, 44122",(216) 464-4055,(216) 464-3229,N/A,N/A,N/A,N/A,N/A,N/A,Jerry Isaak-Shapiro,jisaak-shapiro@mandeljds.org,(216) 464-4055,000136,Ohio Association of Independent Schools
064576,Cleveland School Of The Arts High School,High School,9-12,Public School,School,Open,Cuyahoga,N/A,N/A,"2064 Stearns Rd, Cleveland, Ohio, 44106",(216) 838-9000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John LePelley,john.lepelley@clevelandmetroschools.org,(216) 339-2615,043786,Cleveland Municipal
064600,Barnesville Middle School,Middle School,5-8,Public School,School,Open,Belmont,N/A,casey.mayo@bevsd.org,"970 Shamrock Dr, Barnesville, Ohio, 43713",(740) 425-3116,(740) 425-9204,N/A,N/A,N/A,N/A,N/A,N/A,Casey Mayo,casey.mayo@bevsd.org,(740) 425-3615,045203,Barnesville Exempted Village
064618,Charles Huber Elementary School,Elementary School,K-6,Public School,School,Open,Montgomery,N/A,N/A,"8895 Emeraldgate Dr, Huber Heights, Ohio, 45424",(937) 237-6375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tamara Granata,tamara.granata@huberheightscityschools.org,(937) 524-3329,048751,Huber Heights City
064626,Eastern Elementary School,Elementary School,4-6,Public School,School,Open,Richland,N/A,N/A,"155 Castor Rd, Lexington, Ohio, 44904",(419) 884-3610,(419) 884-2987,N/A,N/A,N/A,N/A,N/A,N/A,"Buddy Miller, Jr.",buddymiller76@gmail.com,(419) 884-3610,049437,Lexington Local
064667,Pymatuning Valley Middle School,Middle School,5-8,Public School,School,Open,Ashtabula,N/A,N/A,"5445 Rt 6, Andover, Ohio, 44003",(440) 293-6981,(440) 293-7214,N/A,N/A,N/A,N/A,N/A,N/A,Andrew Kuthy,andrew.kuthy@neomin.org,(330) 770-0232,045880,Pymatuning Valley Local
064675,Hickory Ridge Elementary School,Elementary School,K-5,Public School,School,Open,Medina,N/A,N/A,"4628 Hickory Ridge Ave, Brunswick, Ohio, 44212",(330) 273-0483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marisa Bavaro,mbavaro@bcsoh.org,N/A,043661,Brunswick City
064683,Northwest High School,High School,9-12,Public School,School,Open,Hamilton,N/A,N/A,"10761 Pippin Rd, Cincinnati, Ohio, 45231",(513) 851-7300,(513) 742-6376,N/A,N/A,N/A,N/A,N/A,N/A,Susan Smith,Ssmith@nwlsd.org,(513) 741-5074,047365,Northwest Local 
064717,Laurelville Elementary School,Elementary School,"K-4,P",Public School,School,Open,Hocking,N/A,N/A,"16138 Pike St, Laurelville, Ohio, 43135",(740) 332-2021,(740) 332-1401,N/A,N/A,N/A,N/A,N/A,N/A,Bret King,bret.king@loganelm.org,(740) 332-2021,049080,Logan Elm Local
064725,Newton Falls Junior High School,Junior High School,7-8,Public School,School,Open,Trumbull,N/A,berillaa@nfschools.org,"907 1/2 Milton Blvd, Newton Falls, Ohio, 44444",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,045567,Newton Falls Exempted Village
064733,Westwood Middle School,Middle School,6-8,Public School,School,Open,Lorain,N/A,N/A,"42350 Adelbert St, Elyria, Ohio, 44035",(440) 284-8017,(440) 284-1055,N/A,N/A,N/A,N/A,N/A,N/A,Theresa Lengel,lengeltheresa@elyriaschools.org,(440) 353--378,043943,Elyria City Schools
064741,Chapman Elementary School,Elementary School,K-6,Public School,School,Open,Cuyahoga,N/A,N/A,"13883 Drake Rd, Strongsville, Ohio, 44136",(440) 572-7140,(440) 572-7146,N/A,N/A,N/A,N/A,N/A,N/A,Gregory Pollock,gpollock83@yahoo.com,(440) 572-7142,044842,Strongsville City
064758,Dublin Coffman High School,High School,9-12,Public School,School,Open,Franklin,N/A,N/A,"6780 Coffman Rd, Dublin, Ohio, 43017",(614) 764-5900,(614) 764-5925,N/A,N/A,N/A,N/A,N/A,N/A,Michael Ulring,ulring_mike@dublinschools.net,(614) 764-5900,047027,Dublin City
064766,New Albany Middle School,Middle School,7-8,Public School,School,Open,Franklin,www.napls.us,N/A,"6600 E Dublin Granville Rd, New Albany, Ohio, 43054",(614) 413-8500,(614) 413-8501,N/A,N/A,N/A,N/A,N/A,N/A,Donna Lebeau,lebeau.1@napls.us,(614) 413-8508,046995,New Albany-Plain Local
064790,West Holmes Middle School,Middle School,6-8,Public School,School,Open,Holmes,N/A,jwoods@westholmes.org,"10901 State Route 39, Millersburg, Ohio, 44654",(330) 674-4761,(330) 674-2311,N/A,N/A,N/A,N/A,N/A,N/A,Jeff Woods,jwoods@westholmes.org,(330) 674-3590,047696,West Holmes Local
064816,Fairfield South Elementary School,Elementary School,"K-5,P",Public School,School,Open,Butler,N/A,N/A,"5460 Bibury Rd, Fairfield, Ohio, 45014",(513) 829-3078,(513) 829-8350,N/A,N/A,N/A,N/A,N/A,N/A,Jason Hussel,hussel_j@fairfieldcityschools.com,(513) 829-3078,046102,Fairfield City
064824,Bellflower Elementary School,Elementary School,K-5,Public School,School,Open,Lake,N/A,N/A,"6655 Reynolds Rd, Mentor, Ohio, 44060",(440) 255-4212,(440) 255-1602,N/A,N/A,N/A,N/A,N/A,N/A,Heather Hardy,hardy@mentorschools.org,(440) 354-4941,045492,Mentor Exempted Village
064857,Norwood Middle School,Middle School,7-8,Public School,School,Open,Hamilton,http://www.norwoodschools.org,N/A,"2060 Sherman Ave, Norwood, Ohio, 45212",(513) 924-2700,(513) 396-5537,N/A,N/A,N/A,N/A,N/A,N/A,Katherine Sabo,sabo.k@norwoodschools.org,(513) 924-2500,044578,Norwood City 
064865,New Lexington High School,High School,9-12,Public School,School,Open,Perry,N/A,nl_cbyers@seovec.org,"2547 Panther Dr NE, New Lexington, Ohio, 43764",(740) 342-3528,(740) 342-4765,N/A,N/A,N/A,N/A,N/A,N/A,Charles Byers,nl_cbyers@seovec.org,(740) 342-3528,044479,New Lexington School District
064907,Chamberlain Middle School,Middle School,6-8,Public School,School,Open,Warren,N/A,cams_sb@swoca.net,"720 Fairview Dr, Carlisle, Ohio, 45005",(937) 746-3227,(937) 746-0519,N/A,N/A,N/A,N/A,N/A,N/A,Daniel Turner,dan.turner@carlisleindians.org,(937) 746-3227,050419,Carlisle Local
064915,Lake Center Christian School,High School,"K-12,P",Nonpublic School,School,Open,Stark,http://www.lakecenterchristian.org,jbeeson@lccs.com,"12893 Kaufman Ave NW, Hartville, Ohio, 44632",(330) 877-2049,(330) 877-2040,Joseph Beeson,jbeeson@lakecenterchristian.org,(330) 877-2049,N/A,N/A,N/A,Joseph Beeson,jbeeson@lakecenterchristian.org,(330) 877-2049,000129,Association of Christian Schools International
064923,Central Baptist Academy - Elementary,Elementary School,K-8,Nonpublic School,School,Open,Hamilton,http://www.centralbaptistcincinnati.com/academy/index.php,centralbaptistacademy@gmail.com,"7645 Winton Rd, Cincinnati, Ohio, 45224",(513) 521-5481,N/A,James Voiles,centralbaptistacademy@gmail.com,N/A,N/A,N/A,N/A,Angela Helton,msheltoncba@gmail.com,N/A,064923,Central Baptist Academy - Elementary
064931,The Childrens Home of Cincinnati,High School,K-12,Nonpublic School,School,Open,Hamilton,N/A,N/A,"5050 Madison Rd, Cincinnati, Ohio, 45227",(513) 272-2800,(513) 527-7393,Michael Mckinley,mmckinley@thechildrenshomecinti.org,(513) 272-2800,Joseph Carolin,jcarolin@thechildrenshomecinti.org,(513) 272-2800,Amanda Tipkemper,atipkemper@thechildrenshomecinti.org,(513) 272-2800,064931,The Childrens Home of Cincinnati
064931,The Childrens Home of Cincinnati,Indicator that identifies a Chartered Nonpublic school as a non-religious based school,K-12,Nonpublic School,School,Open,Hamilton,N/A,N/A,"5050 Madison Rd, Cincinnati, Ohio, 45227",(513) 272-2800,(513) 527-7393,Michael Mckinley,mmckinley@thechildrenshomecinti.org,(513) 272-2800,Joseph Carolin,jcarolin@thechildrenshomecinti.org,(513) 272-2800,Amanda Tipkemper,atipkemper@thechildrenshomecinti.org,(513) 272-2800,064931,The Childrens Home of Cincinnati
065003,Heritage Christian,High School,K-12,Nonpublic School,School,Open,Stark,http://www.heritagechristianschool.org,offices@heritagechristianschool.org,"2107 6th St SW, Canton, Ohio, 44706",(330) 452-8271,(330) 452-0672,Sharla Elton,selton@heritagechristianschool.org,(330) 452-8271,KATHERINE Martin,kmartin@heritagechristianschool.org,(330) 575-0088,Sharla Elton,selton@heritagechristianschool.org,(330) 452-8271,065003,Heritage Christian
065292,Troy Junior High School,Junior High School,7-8,Public School,School,Open,Miami,N/A,N/A,"556 Adams St, Troy, Ohio, 45373",(937) 332-6720,(937) 332-6739,N/A,N/A,N/A,N/A,N/A,N/A,David Dilbone,dilbone-d@troy.k12.oh.us,(937) 510-6865,044925,Troy City
065318,Trimble Junior High,Junior High School,6-8,Public School,School,Open,Athens,N/A,N/A,"18500 Jacksonville Rd, Glouster, Ohio, 45732",(740) 767-2810,(740) 767-9523,N/A,N/A,N/A,N/A,N/A,N/A,Jamie Starrett,jamie.starrett@trimblelocalschools.org,(740) 624-4856,045922,Trimble Local
065383,Buckeye Junior High School,Junior High School,"7-8,SN",Public School,School,Open,Medina,N/A,N/A,"3024 Columbia Rd, Medina, Ohio, 44256",(330) 722-8257,(330) 725-2413,N/A,N/A,N/A,N/A,N/A,N/A,Daniel Flood,dflood@buckeyeschools.org,(330) 414-5979,048470,Buckeye Local 
065391,Ayer Elementary School,Elementary School,K-6,Public School,School,Open,Hamilton,N/A,N/A,"8471 Forest Rd, Cincinnati, Ohio, 45255",(513) 474-3811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Todd Hartman,toddhartman@foresthills.edu,(513) 474-3811,047340,Forest Hills Local
065417,Springboro Junior High School,Junior High School,7-8,Public School,School,Open,Warren,http://www.springboro.org,N/A,"1605 S Main St, Springboro, Ohio, 45066",(937) 748-3953,(937) 748-3964,N/A,N/A,N/A,N/A,N/A,N/A,Jonathan Franks,jfranks@springboro.org,(937) 748-3953,050427,Springboro Community City
065433,Violet Elementary School,Elementary School,K-4,Public School,School,Open,Fairfield,N/A,N/A,"8855 Education Dr, Pickerington, Ohio, 43147",(614) 833-2130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dorethia Copas,dee_copas@plsd.us,(614) 548-1500,046896,Pickerington Local
065466,Hopewell Junior School,Junior High School,7-8,Public School,School,Open,Butler,N/A,jeff.rouff@lakotaonline.com,"8200 Cox Rd, West Chester, Ohio, 45069",(513) 777-2258,(513) 777-1908,N/A,N/A,N/A,N/A,N/A,N/A,Jeffrey Rouff,jeff.rouff@lakotaonline.com,(513) 777-2258,046110,Lakota Local
065508,Crenshaw Middle School,Middle School,6-8,Public School,School,Open,Stark,N/A,N/A,"2525 19th St NE, Canton, Ohio, 44705",(330) 454-7717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tiffany Hardwick,hardwickjoseph_t@ccsdistrict.org,(216) 469-0765,043711,Canton City
065532,Unioto Middle School,Middle School,6-8,Public School,School,Open,Ross,N/A,N/A,"160 Moundsville Rd, Chillicothe, Ohio, 45601",(740) 773-5211,(740) 772-2974,N/A,N/A,N/A,N/A,N/A,N/A,Wilma Gillott,wgillott@gotanks.org,N/A,049536,Union-Scioto Local
065557,Pointview Elementary School,Elementary School,K-5,Public School,School,Open,Franklin,N/A,N/A,"720 Pointview Dr, Westerville, Ohio, 43081",(614) 797-7250,(614) 797-7251,N/A,N/A,N/A,N/A,N/A,N/A,Sherry Birchem,birchems@wcsoh.org,(614) 354-0998,045047,Westerville City
065565,Marion C Seltzer Elementary School,Elementary School,K-8,Public School,School,Open,Cuyahoga,N/A,N/A,"1468 W 98th St, Cleveland, Ohio, 44102",(216) 838-6550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Caitlin Kilbane,caitlin.kilbane@clevelandmetroschools.org,N/A,043786,Cleveland Municipal
065573,Marion-Sterling Elementary School,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,N/A,N/A,"3033 Central Ave, Cleveland, Ohio, 44115",(216) 838-1550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelly Gibbs,kgibbs05@yahoo.com,(216) 470-6343,043786,Cleveland Municipal
065581,Union Furnace Elementary School,Elementary School,"K-4,P",Public School,School,Open,Hocking,N/A,rnott@lhsd.k12.oh.us,"36140 Limebank Road, Union Furnace, Ohio, 43158",(740) 380-6881,(740) 545-1553,N/A,N/A,N/A,N/A,N/A,N/A,Roger Nott,rnott@lhsd.k12.oh.us,(740) 707-7681,044248,Logan-Hocking Local
065672,Flat Ridge Elementary School,Elementary School,2-4,Public School,School,Open,Holmes,N/A,casey.travis@eastholmes.org,"2609 CO Rd 600, Charm, Ohio, 44617",(330) 893-3156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casey Travis,casey.travis@eastholmes.org,(330) 852-6092,047688,East Holmes Local 
065722,The Lippman School,Elementary School,K-8,Nonpublic School,School,Open,Summit,http://www.TheLippmanSchool.org,schestnut@thelippmanschool.org,"750 White Pond Dr, Akron, Ohio, 44320",(330) 836-0419,(330) 869-2514,N/A,N/A,N/A,N/A,N/A,N/A,Samuel Chestnut,schestnut@thelippmanschool.org,(330) 836-0419,065722,The Lippman School
065730,Ratner School  The,Elementary School,K-8,Nonpublic School,School,Open,Cuyahoga,http://www.theratnerschool.org,N/A,"27575 Shaker Blvd, Pepper Pike, Ohio, 44124",(216) 464-0033,(216) 464-0031,Michael Griffith,mgriffith@theratnerschool.org,(216) 464-0033,Marina Leydiker,mleydiker@theratnerschool.org,(216) 310-4882,Michael Griffith,mgriffith@theratnerschool.org,(216) 464-0033,000136,Ohio Association of Independent Schools
065755,Bishop Leibold E And W Campus,Elementary School,K-8,Nonpublic School,School,Open,Montgomery,http://www.bishopleibold.org,twallace@bishopleibold.org,"6666 Springboro Pike, Dayton, Ohio, 45449",(937) 434-9343,(937) 436-3048,N/A,N/A,N/A,N/A,N/A,N/A,Theodore Wallace,twallace@bishopleibold.org,(937) 657-4932,052514,Cincinnati Archdiocese
066282,Covington Junior High School,Junior High School,7-8,Public School,School,Open,Miami,N/A,longj@covingtonk12.org,"807 Chestnut St, Covington, Ohio, 45318",N/A,() 473-3685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,045336,Covington Exempted Village
066407,Rolling Hills Elementary School,Elementary School,K-5,Public School,School,Open,Clark,N/A,N/A,"2613 Moorefield Rd, Springfield, Ohio, 45502",(937) 399-2250,(937) 399-3454,N/A,N/A,N/A,N/A,N/A,N/A,Scott Blackburn,scottblackburn@nelsd.org,(937) 399-2250,046250,Northeastern Local
066456,Hylen Souders Elementary School,Elementary School,"K-4,P",Public School,School,Open,Delaware,N/A,meganforman@bigwalnut.k12.oh.us,"4121 Miller Paul Rd, Galena, Ohio, 43021",(740) 965-3200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Matthew Cox,mattcox@bwls.net,(740) 965-3200,046748,Big Walnut Local
066464,Tippecanoe Middle School,Middle School,6-8,Public School,School,Open,Miami,N/A,N/A,"555 N Hyatt St, Tipp City, Ohio, 45371",(937) 667-8454,(937) 667-0874,N/A,N/A,N/A,N/A,N/A,N/A,Robert Southers,GSouthers@tippcity.k12.oh.us,(937) 667-8454,045617,Tipp City Exempted Village
066472,Jackson Intermediate,Elementary School,3-5,Public School,School,Open,Licking,N/A,N/A,"9370 Lancer Rd, Hebron, Ohio, 43025",(740) 928-1915,(740) 928-3756,N/A,N/A,N/A,N/A,N/A,N/A,Carol Field,cfield@laca.org,N/A,047993,Lakewood Local
066480,Upper Sandusky Middle School,Middle School,4-8,Public School,School,Open,Wyandot,N/A,wheeler_j@usevs.org,"390 W Walker St, Upper Sandusky, Ohio, 43351",(419) 294-5721,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Wheeler,wheeler_j@usevs.org,(419) 294-5721,045625,Upper Sandusky Exempted Village
066498,Van Cleve Elementary School,Elementary School,6,Public School,School,Open,Miami,N/A,N/A,"617 E Main St, Troy, Ohio, 45373",(937) 332-6780,(937) 335-7927,N/A,N/A,N/A,N/A,N/A,N/A,Matthew Siefring,siefring-m@troy.k12.oh.us,(419) 305-5787,044925,Troy City
066514,Willyard Elementary School,Elementary School,1-5,Public School,School,Open,Portage,N/A,N/A,"680 Summit Rd, Ravenna, Ohio, 44266",(330) 296-6481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joseph Kuzior,joseph.kuzior@ravennaschools.us,(330) 296-6481,044685,Ravenna City
066555,Dayton Christian School,High School,"K-12,P",Nonpublic School,School,Open,Montgomery,http://www.daytonchristian.com,jgredy@daytonchristian.com,"9391 Washington Church Rd, Miamisburg, Ohio, 45342",(937) 291-7201,N/A,John Gredy,jgredy@daytonchristian.com,(937) 291-7201,N/A,N/A,N/A,John Gredy,jgredy@daytonchristian.com,(937) 291-7201,000129,Association of Christian Schools International
066738,Baldwin Road Junior High School,Junior High School,5-8,Public School,School,Open,Franklin,www.reyn.org,N/A,"2300 Baldwin Pl, Reynoldsburg, Ohio, 43068",(614) 367-1600,(614) 367-1625,N/A,N/A,N/A,N/A,N/A,N/A,Amy Gengo,amygengo@gmail.com,(614) 519-5315,047001,Reynoldsburg City
066738,Baldwin Road Junior High School,STEM School,5-8,Public School,School,Open,Franklin,www.reyn.org,N/A,"2300 Baldwin Pl, Reynoldsburg, Ohio, 43068",(614) 367-1600,(614) 367-1625,N/A,N/A,N/A,N/A,N/A,N/A,Amy Gengo,amygengo@gmail.com,(614) 519-5315,047001,Reynoldsburg City
066746,Jackson-Milton Elementary School,Elementary School,K-6,Public School,School,Open,Mahoning,N/A,N/A,"14110 Mahoning Ave, North Jackson, Ohio, 44451",(330) 538-3232,(330) 538-2259,N/A,N/A,N/A,N/A,N/A,N/A,Kimberly Fisk,kim.fisk@jmlocal.com,(330) 538-2257,048322,Jackson-Milton Local
